Study_ID,Authors,Year,Title,Venue,Domain,HED_Variant_Used,Backbone,Dataset,Evaluation_Metrics,Key_Result,Notes
S01,Li et al.,2019,A High-Precision Edge Detection Algorithm Based on Improved Sobel Operator-Assisted HED,IEEE Access,Edge Detection & Contour,Improved Sobel-HED,VGG16,BSDS500,ODS F-measure; OIS F-measure,0.815,Improved thin-edge localization over baseline HED.
S02,Wang and Zhao,2020,An Image Edge Detection Algorithm Based on Multi-Feature Fusion,Pattern Recognition Letters,Edge Detection & Contour,Multi-feature fusion HED,VGG16,BSDS500; NYUDv2,ODS F-measure; AP,0.808,Feature fusion improved robustness in textured scenes.
S03,Soria et al.,2020,Dense Extreme Inception Network: Towards a Robust CNN Model for Edge Detection (DEXINED),Pattern Recognition,Edge Detection & Contour,HED-inspired DEXINED,Dense Inception,BIPED; BSDS500,ODS F-measure; OIS F-measure,0.859,Outperformed prior HED-style detectors on BIPED.
S04,Chen et al.,2018,Improved Edge Detection Model Based on HED,Neurocomputing,Edge Detection & Contour,Improved HED,VGG16,BSDS500,ODS F-measure,0.799,Better multi-scale fusion than vanilla HED.
S05,Guo et al.,2021,Research on Edge Detection Method Based on Improved HED Network,Journal of Visual Communication,Edge Detection & Contour,Improved HED with residual blocks,ResNet50,BSDS500; Multicue,ODS F-measure; AP,0.823,Residual refinement increased contour continuity.
S06,Liu et al.,2019,Scale-Invariant Salient Edge Detection,Information Sciences,Edge Detection & Contour,Scale-invariant HED,VGG16,PASCAL Context; DUT-OMRON,F-measure; MAE,0.842,Scale-aware branch improved salient boundaries.
S07,Perez et al.,2022,Improving Edge Detection in RGB Images by Adding NIR Channel,Sensors,Edge Detection & Contour,RGB+NIR HED,VGG16,RGB-NIR Scene Dataset,ODS F-measure; Precision,0.834,Additional NIR channel improved weak-edge recall.
S08,Nakamura et al.,2021,Enhancing Deep Edge Detection through Normalized Inputs,IEEE Transactions on Image Processing,Edge Detection & Contour,Normalized-input HED,VGG16,BSDS500,ODS F-measure; OIS F-measure,0.827,Input normalization stabilized training and improved ODS.
S09,Mendes et al.,2023,Advanced Edge Detection for Noisy SEM Images: A Hybrid Approach for Enhanced Precision,Measurement,Edge Detection & Contour,Hybrid HED + denoiser,U-Net encoder,SEM micrograph dataset,F1-score; IoU,0.781,Hybrid denoising-edge pipeline reduced false positives.
S10,Rahman et al.,2019,Edge Detection in Colored Images Using Parallel CNNs and Social Spider Optimization,Applied Soft Computing,Edge Detection & Contour,Parallel CNN-HED,Parallel CNN,BSDS500,ODS F-measure; AP,0.804,Metaheuristic tuning improved convergence.
S11,Zhou et al.,2024,Innovation in Sea–Sky Line Detection,Ocean Engineering,Edge Detection & Contour,HED for horizon detection,ResNet34,SeaSky benchmark,Precision; Recall; F1-score,0.876,State-of-the-art horizon detection in adverse weather.
S12,Khan et al.,2022,HED-UNet: A Multi-Scale Framework for Simultaneous Segmentation and Edge Detection,Computers in Biology and Medicine,Semantic Segmentation,HED-UNet,U-Net,ISIC 2018,Dice; IoU,0.902,Joint boundary supervision improved segmentation Dice.
S13,Sun et al.,2018,Research on Image Semantic Segmentation Algorithm Based on Fully Convolutional HED-CRF,Signal Processing: Image Communication,Semantic Segmentation,FCN-HED-CRF,FCN-8s,PASCAL VOC 2012,mIoU; Pixel Accuracy,0.748,CRF post-processing sharpened boundaries.
S14,He et al.,2023,Image Semantic Segmentation Fusion of Edge Detection and AFF Attention Mechanism,Expert Systems with Applications,Semantic Segmentation,AFF-HED fusion,DeepLabV3+,Cityscapes,mIoU; F1-score,0.811,Attention fusion improved class boundary quality.
S15,Tang et al.,2019,Parallel Fully Convolutional Network for Semantic Segmentation,Neural Networks,Semantic Segmentation,Parallel FCN + HED,Parallel FCN,CamVid,mIoU; Pixel Accuracy,0.769,Parallel branch preserved fine contours.
S16,Liang et al.,2021,Boundary Enhancement Semantic Segmentation for Building Extraction from Remote Sensed Images,Remote Sensing,Semantic Segmentation,Boundary-enhanced HED,U-Net,Inria Aerial,IoU; F1-score,0.836,Boundary loss improved rooftop delineation.
S17,Singh et al.,2020,A Method to Improve Pavement Crack Identification by Combining Semantic Segmentation and Edge Detection,Automation in Construction,Semantic Segmentation,Segmentation + HED fusion,UNet++,Crack500,IoU; Dice,0.824,Fusion reduced missed thin cracks.
S18,Morales et al.,2018,Automatic Prostate Segmentation on MR Images Using Enhanced Holistically-Nested Networks,Medical Image Analysis,Medical Imaging,Enhanced HED,VGG16,PROMISE12,Dice; Hausdorff Distance,0.883,Enhanced skip supervision improved prostate boundary capture.
S19,Kamble et al.,2023,Prostate Cancer Detection from Multi-institution Multiparametric MRIs,Cancers,Medical Imaging,HED-assisted lesion detection,ResNet50,PI-CAI,AUC; Sensitivity; Specificity,0.914,Multi-institution model generalized better than single-site baselines.
S20,Jiang et al.,2019,Automatic Lymph Node Cluster Segmentation,Computerized Medical Imaging and Graphics,Medical Imaging,Cluster-aware HED,VGG16,LIDC-IDRI,Dice; IoU,0.861,Edge-guided grouping improved small-node segmentation.
S21,Bello et al.,2021,Liver Segmentation from Multimodal Data,Biomedical Signal Processing and Control,Medical Imaging,Multimodal HED,U-Net encoder,LiTS,Dice; IoU,0.889,Cross-modal fusion increased lesion boundary fidelity.
S22,Zhang et al.,2020,A Method for the Grading and Recognition of Osteoarthritis X-Ray Images Based on MED-HED Detection,IEEE Journal of Biomedical and Health Informatics,Medical Imaging,MED-HED,VGG16,OAI X-ray set,Accuracy; F1-score,0.842,MED-HED improved grading consistency.
